Location,Estate,Latitude,Longitude,Price,Saleable,Area,Floor_level,Transaction_price,Square_feet,Discount_rate,Assignment_date,Credit_level,Credit_value
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,612800,41,443,H,14946,1383,82,17/8/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,304200,25,264,M,12168,1152,18,20/8/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,317400,28,296,M,11336,1072,18,21/8/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,417300,19,208,H,21963,2006,19,22/8/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,334600,28,296,H,11950,1130,18,23/8/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,434000,26,277,L,16692,1567,20,24/8/2021,0,0
TAI PO  NORTH & SHATIN (1),POK HONG ESTATE,22.37493,114.19191,448600,26,283,L,17254,1585,20,25/8/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,309800,28,296,L,11064,1047,18,26/8/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,351600,27,294,L,13022,1196,21,27/8/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,466000,32,349,L,14563,1335,81,28/8/2021,0,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,738900,36,385,M,20525,1919,82,30/8/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,434900,27,292,M,16107,1489,21,31/8/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305800,27,287,M,11326,1066,18,1/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,297000,26,284,M,11423,1046,18,2/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,323400,28,296,H,11550,1093,18,3/9/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,653900,36,385,H,18164,1698,82,4/9/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,494400,27,292,H,18311,1693,82,5/9/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,291300,15,164,L,19420,1776,82,6/9/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,436600,26,284,L,16792,1537,20,7/9/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,416600,26,277,L,16023,1504,20,8/9/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,417900,27,292,L,15478,1431,21,9/9/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,504600,25,267,L,20184,1890,20,10/9/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,316700,26,283,L,12181,1119,18,11/9/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,316500,26,277,L,12173,1143,18,12/9/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,412200,19,208,H,21695,1982,19,13/9/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,314900,26,277,L,12112,1137,18,14/9/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,378100,21,228,M,18005,1658,20,16/9/2021,0,0
TAI PO  NORTH & SHATIN (2),WAN TAU TONG ESTATE,22.44275,114.16876,250600,15,164,M,16707,1528,82,17/9/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,342000,20,217,H,17100,1576,19,18/9/2021,0,0
HONG KONG ISLAND & ISLANDS (2),TSUI WAN ESTATE,22.26825,114.24061,349200,19,208,H,18379,1679,20,19/9/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,403900,20,213,H,20195,1896,20,20/9/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,836600,45,480,L,18591,1743,82,21/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,304200,28,296,L,10864,1028,18,22/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300800,27,294,L,11141,1023,18,23/9/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,676400,45,485,L,15031,1395,81,24/9/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,356400,26,277,L,13708,1287,83,25/9/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,332700,26,277,L,12796,1201,18,26/9/2021,0,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,401900,19,208,M,21153,1932,20,27/9/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,322000,25,264,M,12880,1220,18,28/9/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,451300,27,292,M,16715,1546,21,29/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,286400,26,283,M,11015,1012,18,30/9/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,297000,26,277,M,11423,1072,18,1/10/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,280600,26,277,M,10792,1013,18,2/10/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,324800,27,287,M,12030,1132,18,3/10/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,286800,20,212,M,14340,1353,19,4/10/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,270400,20,212,M,13520,1275,19,5/10/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,299600,15,165,H,19973,1816,20,6/10/2021,0,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,655200,35,376,L,18720,1743,82,7/10/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,384300,33,358,L,11645,1073,83,8/10/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,332700,25,264,L,13308,1260,82,9/10/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,937800,41,439,M,22873,2136,19,11/10/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,514200,28,296,M,18364,1737,17,12/10/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,606000,35,376,M,17314,1612,19,13/10/2021,0,0
TUEN MUN & YUEN LONG (3),TIN KING ESTATE,22.40587,113.96399,355500,34,367,L,10456,969,18,14/10/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,743900,41,443,L,18144,1679,19,15/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,636200,41,443,L,15517,1436,19,16/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,673300,35,381,M,19237,1767,19,17/10/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,563500,35,381,M,16100,1479,20,18/10/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,554800,35,381,M,15851,1456,20,19/10/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,549000,35,381,M,15686,1441,16,20/10/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,481800,33,355,M,14600,1357,16,22/10/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,501400,28,296,M,17907,1694,17,23/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,458300,22,241,M,20832,1902,19,24/10/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,489700,27,294,M,18137,1666,21,25/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,643100,32,349,M,20097,1843,21,26/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,558200,32,349,M,17444,1599,19,27/10/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),TSING YI ESTATE,22.35465,114.1028,611500,35,375,H,17471,1631,19,28/10/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,497300,25,265,H,19892,1877,20,29/10/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,475200,27,292,H,17600,1627,82,30/10/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,466000,27,294,L,17259,1585,17,31/10/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,500300,33,351,L,15161,1425,19,1/11/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,649900,35,376,L,18569,1728,19,2/11/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,509700,25,267,L,20388,1909,19,3/11/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,436200,32,349,L,13631,1250,82,4/11/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444000,32,349,L,13875,1272,82,5/11/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,618600,41,443,H,15088,1396,19,6/11/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,620300,41,443,H,15129,1400,19,7/11/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,563900,35,381,L,16111,1480,18,8/11/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,601200,35,381,M,17177,1578,18,9/11/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,584900,35,381,M,16711,1535,18,10/11/2021,0,0
KOWLOON EAST (1),HING TIN ESTATE,22.31285,114.23877,633300,35,381,H,18094,1662,19,11/11/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,524700,35,381,L,14991,1377,20,12/11/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,489000,35,381,L,13971,1283,16,13/11/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,335100,35,381,L,9574,880,17,14/11/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,536600,39,423,M,13759,1269,20,18/11/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,470100,32,349,M,14691,1347,20,19/11/2021,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,552200,34,365,L,16241,1513,22,20/11/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,477500,26,284,L,18365,1681,20,21/11/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,309200,28,296,L,11043,1045,86,22/11/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,467000,46,490,L,10152,953,17,23/11/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,618500,38,407,L,16276,1520,81,24/11/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,498300,34,366,L,14656,1361,19,25/11/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,614700,41,442,L,14993,1391,18,26/11/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,373100,33,358,L,11306,1042,21,27/11/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,536600,35,381,L,15331,1408,16,28/11/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,272100,14,155,M,19436,1755,82,30/11/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,490200,27,287,M,18156,1708,17,1/12/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,464200,35,376,M,13263,1235,83,2/12/2021,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,611900,32,349,M,19122,1753,22,3/12/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,331000,28,296,H,11821,1118,18,4/12/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,534300,33,351,L,16191,1522,20,5/12/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,457800,26,277,L,17608,1653,20,6/12/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,580900,33,355,L,17603,1636,19,7/12/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,602100,45,485,L,13380,1241,82,8/12/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,325100,26,284,L,12504,1145,18,9/12/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,482100,39,423,L,12362,1140,82,10/12/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,609300,32,349,L,19041,1746,21,11/12/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,577900,35,381,H,16511,1517,20,12/12/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,340500,35,381,L,9729,894,18,13/12/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,466200,27,286,M,17267,1630,21,16/12/2021,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,336000,26,277,M,12923,1213,18,17/12/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,492300,33,355,M,14918,1387,20,18/12/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,445600,27,287,L,16504,1553,17,19/12/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,400000,28,296,L,14286,1351,17,20/12/2021,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,459600,32,349,L,14363,1317,20,21/12/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,436400,32,349,L,13638,1250,19,22/12/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,441400,20,217,M,22070,2034,21,23/12/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,325200,20,217,M,16260,1499,20,24/12/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,416500,19,208,H,21921,2002,19,25/12/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,323200,27,287,H,11970,1126,18,26/12/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,917800,54,586,H,16996,1566,82,27/12/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,338700,15,164,M,22580,2065,21,28/12/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,423800,26,277,M,16300,1530,20,29/12/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,405800,20,217,H,20290,1870,20,30/12/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,321300,27,287,H,11900,1120,18,31/12/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,254500,20,217,L,12725,1173,19,1/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,282700,26,277,L,10873,1021,18,2/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,354300,20,212,M,17715,1671,19,3/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,324800,15,161,M,21653,2017,19,4/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,410700,20,217,M,20535,1893,20,5/1/2022,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,279400,20,212,M,13970,1318,20,6/1/2022,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,328300,19,208,H,17279,1578,20,7/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,279800,26,283,L,10762,989,18,8/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,274600,26,284,L,10562,967,18,9/1/2022,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,308400,19,208,L,16232,1483,21,10/1/2022,0,0
TAI PO  NORTH & SHATIN (1),HIN KENG ESTATE,22.36399,114.17324,631700,35,381,M,18049,1658,81,11/1/2022,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,310100,19,208,L,16321,1491,20,12/1/2022,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,263300,20,217,M,13165,1213,19,14/1/2022,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,257500,20,217,M,12875,1187,19,15/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,276800,26,284,M,10646,975,18,16/1/2022,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,397100,20,213,H,19855,1864,20,17/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,415900,19,208,H,21889,2000,19,18/1/2022,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,403100,26,277,L,15504,1455,20,19/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,390200,19,208,L,20537,1876,19,20/1/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,297900,15,160,L,19860,1862,82,21/1/2022,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,724200,35,381,H,20691,1901,86,22/1/2022,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,766600,45,485,M,17036,1581,18,24/1/2022,0,0
TAI PO  NORTH & SHATIN (3),KWONG YUEN ESTATE,22.38123,114.21415,315100,20,217,M,15755,1452,19,25/1/2022,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,319500,19,208,L,16816,1536,19,26/1/2022,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,348100,21,228,L,16576,1527,82,27/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,281200,27,294,L,10415,956,18,28/1/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,275600,27,294,L,10207,937,18,29/1/2022,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,302200,19,208,L,15905,1453,20,30/1/2022,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,568700,35,381,M,16249,1493,86,31/1/2022,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,337800,19,208,M,17779,1624,19,2/2/2022,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,259300,20,217,M,12965,1195,19,3/2/2022,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,306000,19,208,M,16105,1471,21,4/2/2022,0,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,457400,36,385,H,12706,1188,82,5/2/2022,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,398700,26,284,L,15335,1404,20,6/2/2022,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,288900,19,208,L,15205,1389,21,7/2/2022,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444000,32,349,L,13875,1272,82,8/2/2022,0,0
TAI PO  NORTH & SHATIN (2),CHEUNG WAH ESTATE,22.49219,114.1419,556100,35,381,H,15889,1460,83,9/2/2022,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,547100,35,381,L,15631,1436,86,10/2/2022,0,0
TAI PO  NORTH & SHATIN (2),TIN PING ESTATE,22.50348,114.13229,322800,19,208,M,16989,1552,21,12/2/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300300,26,283,L,11550,1061,83,13/2/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,377000,20,217,L,18850,1737,20,14/2/2022,0,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,245900,19,208,M,12942,1182,19,16/2/2022,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,308800,19,208,M,16253,1485,20,17/2/2022,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,451700,27,286,M,16730,1579,21,18/2/2022,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,443000,27,292,M,16407,1517,21,19/2/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,309200,27,287,M,11452,1077,18,20/2/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,405800,20,217,H,20290,1870,20,21/2/2022,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,319500,19,208,H,16816,1536,20,22/2/2022,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,467700,26,277,L,17988,1688,20,23/2/2022,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,424300,26,277,L,16319,1532,20,24/2/2022,0,0
TAI PO  NORTH & SHATIN (3),KWONG YUEN ESTATE,22.38123,114.21415,289400,20,217,L,14470,1334,19,25/2/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,377600,20,217,L,18880,1740,20,26/2/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,445900,22,241,L,20268,1850,20,27/2/2022,0,0
HONG KONG ISLAND & ISLANDS (2),TSUI WAN ESTATE,22.26825,114.24061,346400,19,208,M,18232,1665,20,1/3/2022,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,703800,35,377,M,20109,1867,82,2/3/2022,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,442400,27,286,M,16385,1547,21,3/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,299000,26,277,M,11500,1079,18,4/3/2022,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,569200,32,349,M,17788,1631,22,5/3/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,316400,15,164,H,21093,1929,19,6/3/2022,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,416700,19,208,H,21932,2003,19,7/3/2022,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,287400,20,212,H,14370,1356,20,8/3/2022,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,292600,20,212,H,14630,1380,20,9/3/2022,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,285000,20,212,H,14250,1344,20,10/3/2022,0,0
TAI PO  NORTH & SHATIN (2),WAN TAU TONG ESTATE,22.44275,114.16876,347600,20,217,H,17380,1602,19,11/3/2022,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,332800,25,264,H,13312,1261,18,12/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,306900,27,287,H,11367,1069,18,13/3/2022,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,764000,42,447,H,18190,1709,82,14/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,296800,26,284,L,11415,1045,18,15/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,271500,26,277,L,10442,980,18,16/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,271300,26,277,L,10435,979,18,17/3/2022,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,304200,27,287,L,11267,1060,18,18/3/2022,0,0
